기간,자치구,발생,발생,발생,발생,소실,소실,소실,피해액,피해액,피해액,재산피해경감액,인명피해,인명피해,인명피해,이재민수,구조인원
기간,자치구,합계,실화,방화,기타,동수(동),이재가구수(가구),면적(㎡),합계,부동산,동산,재산피해경감액,합계,사망,부상,이재민수,구조인원
2015,광진구,241 ,218 ,4 ,19 ,10 ,1 ,1068 ,584151 ,239832 ,344319 ,36027165 ,13 ,-,13 ,1 ,7 
2015,동대문구,223 ,189 ,10 ,24 ,8 ,2 ,646 ,486322 ,111844 ,374478 ,11391878 ,18 ,1 ,17 ,4 ,1 
2015,중랑구,175 ,142 ,4 ,29 ,32 ,1 ,1489 ,345185 ,129751 ,215434 ,22827979 ,15 ,-,15 ,4 ,20 
2015,성북구,151 ,124 ,6 ,21 ,45 ,3 ,677 ,463343 ,243513 ,219830 ,9816437 ,11 ,2 ,9 ,4 ,17 
2015,강북구,178 ,156 ,7 ,15 ,61 ,-,520 ,593257 ,152011 ,441246 ,4769835 ,13 ,1 ,12 ,-,-
2015,도봉구,188 ,174 ,6 ,8 ,11 ,9 ,1429 ,644091 ,320265 ,323826 ,16227655 ,16 ,3 ,13 ,23 ,33 
2015,노원구,241 ,208 ,13 ,20 ,17 ,3 ,20625 ,436980 ,239029 ,197951 ,21535541 ,25 ,-,25 ,12 ,10 
2015,은평구,244 ,199 ,17 ,28 ,19 ,2 ,3431 ,404665 ,149403 ,255262 ,8598777 ,3 ,-,3 ,3 ,45 
2015,서대문구,215 ,198 ,3 ,14 ,21 ,10 ,704 ,186457 ,80267 ,106190 ,1584834 ,5 ,1 ,4 ,22 ,10 
2015,마포구,251 ,216 ,5 ,30 ,52 ,2 ,511 ,310170 ,114284 ,195886 ,6472539 ,4 ,-,4 ,8 ,27 
2015,양천구,218 ,195 ,8 ,15 ,11 ,-,349 ,197790 ,116034 ,81756 ,10724660 ,4 ,-,4 ,-,51 
2015,강서구,301 ,252 ,10 ,39 ,22 ,-,948 ,404432 ,158340 ,246092 ,40414946 ,5 ,2 ,3 ,-,12 
