뉴스 식별자,본문
02100801.20200720112129001,"[아시아경제 조강욱 기자] ""네이버, 카카오와 같은 '빅테크(big techㆍ대형 정보통신기업)'들의 금융권을 향한 공세는 더욱 강해질 것입니다. KB국민은행은 자산관리 노하우, 고객 신뢰 등 경쟁우위를 확보할 수 있는 강점이 있기 때문에 그들의 공격이 두렵지 않습니다. 차별화된 '고객 중심 디지털 서비스' 로 승부를 볼 생각입니다."" 
 
초대형 플랫.."
01100201.20200720112105001,"하나금융13호스팩은 최근 현저한 시황변동에 대한 조회공시 요구에 대해 ""중요한 공시사항이 없다""고 20일 답변했다. 
 
한편, 하나금융13호스팩의 11시 19분 현재주가는 3,420원으로 직전 거래일 대비 245원(-6.68%) 하락이며, 거래량은 424,139주이다. 
 
공시 전문으로 이동 
 
스톡봇 기자 
 
※ 이 기사는 국민일보와 엠로보가 .."
01100201.20200720111338001,"형지I&C은 최근 현저한 시황변동에 대한 조회공시 요구에 대해 ""중요한 공시사항이 없다""고 20일 답변했다. 
 
한편, 형지I&C의 11시 11분 현재주가는 955원으로 직전 거래일 대비 220원(+29.93%) 상승이며, 거래량은 6,209,307주이다. 
 
공시 전문으로 이동 
 
스톡봇 기자 
 
※ 이 기사는 국민일보와 엠로보가 개발한 증권뉴.."
07100501.20200720110854003,"국립과천과학관이 8월 가족과 함께하는 인공지능 체험 교육을 실시한다. 
 
인공지능(AI) 체험 교육은 비대면 온라인 영상교육으로 진행한다. 인공지능 오픈 소스인 티처블 머신(Teachable Machine)을 활용, 인공지능이 어떻게 이미지를 구분하고 다양한 소리와 동작을 인식하는지 등을 체험한다. 
 
실습은 온라인 소그룹별 전문보조강사(멘토)의 지.."
07100501.20200720110854002,"KT가 프리미엄 가구, 공간 전문 브랜드 '체리쉬'와 AI 스피커 기가지니로 음성제어가 가능한 '모션베드'와 '모션커튼' 등 사물인터넷(IoT) 가구 2종을 선보였다.

모션베드와 모션커튼은 KT 인공지능 스피커 '기가지니'와 연동해 음성만으로 제어할 수 있다. 음성으로 기상, 수면, 침대 무중력, 지정 자세 기억, 코골이 완화, 커튼 개폐 등 다양한 .."
02100101.20200720110140003,"KT는 프리미엄 가구, 공간 전문 브랜드 '체리쉬'와 손잡고 AI 스피커 기가지니로 음성제어가 가능한 '모션베드'와 '모션커튼' IoT 가구 2종을 20일 선보였다고 밝혔다.
이번에 출시한 모션베드와 모션커튼은 KT 인공지능 스피커 '기가지니'와 연동해 음성만으로 제어할 수 있다. 음성으로 기상, 수면, 침대 무중력, 지정 자세 기억, 코골이 완화, 커.."
01100201.20200720105950001,"알에프텍은 티케-오비트 1호신기술사업투자조합 및 특별관계자의 지분율이 25.84%에서 21.07%로 변동했다고 20일 공시했다. 한편, 알에프텍의 10시 58분 현재주가는 11,200원으로 직전 거래일 대비 50원(-0.44%) 하락이며, 거래량은 3,705,313주이다. 
 
 
 
공시 전문으로 이동 
 
 
 
* 주식등의 대량보유상황보고서는 특수.."
02100701.20200720105920001,"[헤럴드경제=구본혁 기자] 국내 연구진이 인공지능(AI)을 이용해 소리를 듣고 어떠한 상황인지 음향 인식 기술력을 겨루는 국제대회에서 세계 1위를 달성했다. 기계가 사람과 같이 청각을 인식하는 길에 한 걸음 더 나아가고 음향 기술과 다양한 산업 분야의 융합이 가속화될 전망이다. 
 
 한국전자통신연구원(ETRI)은 지난 3일 전기?전자기술자협회(IEEE.."
07100501.20200720105109001,"제주삼다수 취수가 주변 지하수위에 영향을 미치지 않는다는 연구 결과가 나왔다.

제주특별자치도개발공사는 1998년 출시 이래 20년 이상 장기간에 걸친 조사연구 자료를 토대로 최근 제주삼다수 취수원 주변지역 지하수 특성에 대한 논문 두 편을 한국수자원학회 논문집에 발표했다고 20일 밝혔다.

발표에 따르면 제주삼다수 취수에 따라 주변 지역의 지하수 수위.."
01100801.20200720104524001,"강수량과 생수 취수량에 따른 제주 지하수위 영향 분석 논문 발표 
 
'제주도에 아무리 물이 많다고 해도, 생수를 이렇게 많이 만들어도 괜찮은걸까?' 
국내 생수 중 판매량 1위인 삼다수를 마시면서 종종 뇌리를 스쳐 지나갔던 질문이다. 
 
이와 관련, 제주개발공사는 20일 ""제주삼다수 취수가 주변 지하수위에 영향을 미치지 않는다는 연구 결과가 나왔다"".."
01100701.20200720104439001,"빅데이터 인공지능(AI) 기반 개인 스타일링 전문기업인 ㈜디오네스(대표 이은미)는 온라인 상에서 소비자가 좋아할 만한 옷을 먼저 제안하고 고객이 제안된 옷에 만족하면 결제하는 인공지능 기반 신개념의 개인 스타일링 서비스인 ‘PERSS(펄스)’를 정식 오픈했다고 20일 밝혔다. 
 
 ‘PERSS(펄스)’는 회원가입 과정에서 고객의 신체 사이즈, 좋아하는.."
01500701.20200720104359001,"한국저작권위원회가 발간한 ‘중국 인터넷법원 활용 핸드북’. 한국저작권위원회 제공



 한국저작권위원회(위원장 임원선)는 중국 내 저작권 소송 안내서인 ‘중국 인터넷법원 활용 핸드북’을 발간했다고 20일 밝혔다. 
 
 이번 핸드북은 외국인에 해당하는 국내 권리자도 중국 인터넷법원을 이용해 실질적 피해 보상을 받을 수 있도록 구체적인 이용방법을 안내해 .."
01100201.20200720104253001,"현대미포조선은 유럽 선주와 859억원 규모의 계약을 체결했다고 20일에 공시했다. 
 
이번 계약은 공사수주이고 계약기간은 2020년 07월 17일부터 2021년 11월 30일까지이다. 
 
계약규모는 859억원으로 최근 매출액인 2조 9941억원 대비 2.87% 수준이다. 
 
한편, 현대미포조선의 10시 41분 현재주가는 31,450원으로 직전 거래.."
01100201.20200720103736001,"김태년 더불어민주당 원내대표는 20일 고(故) 박원순 서울시장, 오거돈 전 부산시장 등 당 소속 광역단체장의 잇딴 성추문과 관련해 “피해자들께 사과드린다”고 밝혔다. 
 
김 원내대표는 이날 오전 국회 본회의에서 21대 국회 첫 교섭단체 대표연설을 통해 “민주당은 소속 광역단체장의 불미스러운 사건들에 큰 책임감을 느낀다”며 이같이 말했다. 민주당 지도부.."
